ID|Name|Types|Speed|HP|XP|Attack|Defense|Weight
1|Bulbasaur|Grass,Poison|45|45|64|49|49|69
2|Ivysaur|Grass,Poison|60|60|142|62|63|130
3|Venusaur|Grass,Poison|80|80|236|82|83|1000
4|Charmander|Fire|65|39|62|52|43|85
5|Charmeleon|Fire|80|58|142|64|58|190
6|Charizard|Fire,Flying|100|78|240|84|78|905
7|Squirtle|Water|43|44|63|48|65|90
8|Wartortle|Water|58|59|142|63|80|225
9|Blastoise|Water|78|79|239|83|100|855
10|Caterpie|Bug|45|45|39|30|35|29
11|Metapod|Bug|30|50|72|20|55|99
12|Butterfree|Bug,Flying|70|60|178|45|50|320
13|Weedle|Bug,Poison|50|40|39|35|30|32
14|Kakuna|Bug,Poison|35|45|72|25|50|100
15|Beedrill|Bug,Poison|75|65|178|90|40|295
16|Pidgey|Normal,Flying|56|40|50|45|40|18
17|Pidgeotto|Normal,Flying|71|63|122|60|55|300
18|Pidgeot|Normal,Flying|101|83|216|80|75|395
19|Rattata|Normal|72|30|51|56|35|35
20|Raticate|Normal|97|55|145|81|60|185
21|Spearow|Normal,Flying|70|40|52|60|30|20
22|Fearow|Normal,Flying|100|65|155|90|65|380
23|Ekans|Poison|55|35|58|60|44|69
24|Arbok|Poison|80|60|157|95|69|650
25|Pikachu|Electric|90|35|112|55|40|60
26|Raichu|Electric|110|60|218|90|55|300
27|Sandshrew|Ground|40|50|60|75|85|120
28|Sandslash|Ground|65|75|158|100|110|295
29|Nidoran-f|Poison|41|55|55|47|52|70
30|Nidorina|Poison|56|70|128|62|67|200
31|Nidoqueen|Poison,Ground|76|90|227|92|87|600
32|Nidoran-m|Poison|50|46|55|57|40|90
33|Nidorino|Poison|65|61|128|72|57|195
34|Nidoking|Poison,Ground|85|81|227|102|77|620
35|Clefairy|Fairy|35|70|113|45|48|75
36|Clefable|Fairy|60|95|217|70|73|400
37|Vulpix|Fire|65|38|60|41|40|99
38|Ninetales|Fire|100|73|177|76|75|199
39|Jigglypuff|Normal,Fairy|20|115|95|45|20|55
40|Wigglytuff|Normal,Fairy|45|140|196|70|45|120
41|Zubat|Poison,Flying|55|40|49|45|35|75
42|Golbat|Poison,Flying|90|75|159|80|70|550
43|Oddish|Grass,Poison|30|45|64|50|55|54
44|Gloom|Grass,Poison|40|60|138|65|70|86
45|Vileplume|Grass,Poison|50|75|221|80|85|186
46|Paras|Bug,Grass|25|35|57|70|55|54
47|Parasect|Bug,Grass|30|60|142|95|80|295
48|Venonat|Bug,Poison|45|60|61|55|50|300
49|Venomoth|Bug,Poison|90|70|158|65|60|125
50|Diglett|Ground|95|10|53|55|25|8
51|Dugtrio|Ground|120|35|149|100|50|333
52|Meowth|Normal|90|40|58|45|35|42
53|Persian|Normal|115|65|154|70|60|320
54|Psyduck|Water|55|50|64|52|48|196
55|Golduck|Water|85|80|175|82|78|766
56|Mankey|Fighting|70|40|61|80|35|280
57|Primeape|Fighting|95|65|159|105|60|320
58|Growlithe|Fire|60|55|70|70|45|190
59|Arcanine|Fire|95|90|194|110|80|1550
60|Poliwag|Water|90|40|60|50|40|124
61|Poliwhirl|Water|90|65|135|65|65|200
62|Poliwrath|Water,Fighting|70|90|230|95|95|540
63|Abra|Psychic|90|25|62|20|15|195
64|Kadabra|Psychic|105|40|140|35|30|565
65|Alakazam|Psychic|120|55|225|50|45|480
66|Machop|Fighting|35|70|61|80|50|195
67|Machoke|Fighting|45|80|142|100|70|705
68|Machamp|Fighting|55|90|227|130|80|1300
69|Bellsprout|Grass,Poison|40|50|60|75|35|40
70|Weepinbell|Grass,Poison|55|65|137|90|50|64
71|Victreebel|Grass,Poison|70|80|221|105|65|155
72|Tentacool|Water,Poison|70|40|67|40|35|455
73|Tentacruel|Water,Poison|100|80|180|70|65|550
74|Geodude|Rock,Ground|20|40|60|80|100|200
75|Graveler|Rock,Ground|35|55|137|95|115|1050
76|Golem|Rock,Ground|45|80|223|120|130|3000
